time,ID,remaining energy,lpm,cpu,rx,tx,harvested energy,remaining energy after eh,added
30,35,,3060.0,86196.0,87240.0,60120.0,,,
30,54,,3180.0,65352.0,35580.0,14880.0,,,
30,2,,,,,,,,
30,44,,3180.0,67548.0,35520.0,12420.0,,,
30,45,,3120.0,72312.0,41100.0,12840.0,,,
30,11,265237056.0,,,,,,,
30,35,265184184.0,,,,,,,
30,54,265301808.0,,,,,,,
30,44,265302132.0,,,,,,,
30,45,265291428.0,,,,,,,
30,30,,,,,,,,
30,6,,,,,,,,
30,2,,2940.0,113496.0,107160.0,119460.0,,,
30,30,,3120.0,80016.0,55740.0,26880.0,,,
30,2,265077744.0,,,,,12.88,265077756.88,12.88
30,6,,3000.0,102264.0,86520.0,127380.0,,,
30,30,265255044.0,,,,,,,
30,6,265101636.0,,,,,12.88,265101648.88,12.88
30,18,,,,,,,,
30,18,,3180.0,65676.0,45540.0,14580.0,,,
30,18,265291824.0,,,,,,,
30,33,,,,,,,,
30,33,,3180.0,61728.0,32160.0,15360.0,,,
30,33,265308372.0,,,,,,,
30,27,,,,,,,,
30,4,,2880.0,129396.0,140040.0,168360.0,,,
30,41,,,,,,,,
30,4,264980124.0,,,,,12.88,264980136.88,12.88
30,4,,,,,,,,
30,7,,,,,,,,
30,27,,3180.0,63636.0,33120.0,14040.0,,,
30,41,,3180.0,68736.0,39300.0,15000.0,,,
30,47,,,,,,,,
30,40,,,,,,,,
30,27,265306824.0,,,,,,,
30,53,,,,,,,,
30,41,265294584.0,,,,,,,
30,7,,3180.0,63312.0,33060.0,14280.0,,,
30,7,265306968.0,,,,,,,
30,47,,3120.0,79104.0,43980.0,31740.0,,,
30,40,,3120.0,77688.0,67080.0,33600.0,,,
30,53,,3120.0,75420.0,42000.0,29100.0,,,
30,47,265262856.0,,,,,,,
30,40,265239312.0,,,,,,,
30,53,265271160.0,,,,,,,
30,14,,,,,,,,
30,15,,,,,,,,
30,46,,,,,,,,
30,25,,,,,,,,
30,14,,3180.0,68436.0,37320.0,16080.0,,,
30,20,,,,,,,,
30,16,,,,,,,,
30,37,,,,,,,,
30,14,265295784.0,,,,,,,
30,15,,3120.0,71700.0,47160.0,17400.0,,,
30,46,,3180.0,62520.0,31500.0,12300.0,,,
30,25,,3180.0,65484.0,47280.0,12840.0,,,
30,15,265281420.0,,,,,,,
30,20,,3120.0,71364.0,54540.0,31680.0,,,
30,16,,3120.0,76560.0,61500.0,24960.0,,,
30,37,,3060.0,90204.0,79560.0,77940.0,,,
30,46,265311300.0,,,,,,,
30,25,265292016.0,,,,,,,
30,20,265260096.0,,,,,,,
30,16,265254660.0,,,,,,,
30,37,265170036.0,,,,,,,
30,10,,,,,,,,
30,10,,3180.0,62580.0,33480.0,12120.0,,,
30,52,,3120.0,80832.0,45420.0,17580.0,,,
30,10,265309440.0,,,,,,,
30,52,265273848.0,,,,,,,
30,52,,,,,,,,
30,12,,,,,,,,
30,12,,3120.0,77448.0,55740.0,35160.0,,,
30,12,265249332.0,,,,,,,
30,49,,,,,,,,
30,29,,,,,,,,
30,49,,3120.0,73728.0,40620.0,15240.0,,,
30,49,265288092.0,,,,,,,
30,29,,3180.0,62016.0,34260.0,17880.0,,,
30,22,,,,,,,,
30,29,265303464.0,,,,,,,
30,22,,3180.0,63684.0,42180.0,15120.0,,,
30,51,,,,,,,,
30,43,,,,,,,,
30,26,,,,,,,,
30,22,265296636.0,,,,,,,
30,56,,,,,,,,
30,51,,3180.0,65088.0,33840.0,13260.0,,,
30,43,,3180.0,68064.0,35640.0,13860.0,,,
30,9,,,,,,,,
30,26,,3180.0,66276.0,43920.0,15120.0,,,
30,51,265305432.0,,,,,,,
30,56,,3120.0,72804.0,40080.0,19980.0,,,
30,5,,,,,,,,
30,43,265300056.0,,,,,,,
30,26,265292304.0,,,,,,,
30,42,,,,,,,,
30,19,,,,,,,,
30,56,265284816.0,,,,,,,
30,9,,3120.0,74496.0,46500.0,16980.0,,,
30,5,,2880.0,123672.0,124140.0,180600.0,,,
30,9,265279704.0,,,,,,,
30,42,,3180.0,66072.0,37320.0,15480.0,,,
30,19,,3180.0,60600.0,34620.0,13380.0,,,
30,5,264989508.0,,,,,12.88,264989520.88,12.88
30,42,265298748.0,,,,,,,
30,19,265309020.0,,,,,,,
30,38,,,,,,,,
30,38,,3060.0,86664.0,63300.0,44460.0,,,
30,17,,,,,,,,
30,38,265223316.0,,,,,,,
30,17,,3120.0,73044.0,46980.0,14460.0,,,
30,17,265283196.0,,,,,,,
30,36,,,,,,,,
30,13,,,,,,,,
30,3,,,,,,,,
30,36,,3180.0,69552.0,55380.0,25140.0,,,
30,13,,3180.0,65352.0,32760.0,14340.0,,,
30,21,,,,,,,,
30,36,265267548.0,,,,,,,
30,13,265305168.0,,,,,,,
30,3,,3120.0,76416.0,54840.0,23040.0,,,
30,21,,3180.0,63528.0,42300.0,15360.0,,,
30,3,265263384.0,,,,,12.88,265263396.88,12.88
30,21,265296432.0,,,,,,,
30,23,,,,,,,,
30,23,,3180.0,68616.0,46920.0,14640.0,,,
30,23,265287444.0,,,,,,,
30,32,,,,,,,,
30,32,,3120.0,76212.0,45840.0,17460.0,,,
30,32,265278168.0,,,,,,,
60,39,,,,,,,,
60,34,,,,,,,,
60,24,,,,,,,,
60,39,,3180.0,67284.0,42420.0,10260.0,,,
60,34,,3180.0,65028.0,39900.0,12780.0,,,
60,24,,3180.0,67824.0,37800.0,17940.0,,,
60,39,265141356.0,,,,,,,
60,34,265170336.0,,,,,,,
60,8,,,,,,,,
60,24,265128396.0,,,,,,,
60,8,,3180.0,66228.0,31500.0,10500.0,,,
60,48,,,,,,,,
60,8,265191900.0,,,,,,,
60,50,,,,,,,,
60,48,,3240.0,57900.0,29280.0,8940.0,,,
60,55,,,,,,,,
60,28,,,,,,,,
60,48,265213800.0,,,,,,,
60,50,,3180.0,63036.0,29940.0,9540.0,,,
60,50,265202412.0,,,,,,,
60,55,,3120.0,74244.0,41760.0,23640.0,,,
60,28,,3240.0,55776.0,28140.0,9540.0,,,
60,55,265143060.0,,,,,,,
60,28,265215288.0,,,,,,,
60,11,,,,,,,,
60,31,,,,,,,,
60,35,,,,,,,,
60,54,,,,,,,,
60,44,,,,,,,,
60,45,,,,,,,,
60,31,,3180.0,61644.0,31380.0,8400.0,,,
60,2,,,,,,,,
60,30,,,,,,,,
60,31,265196376.0,,,,,,,
60,35,,3120.0,77796.0,65820.0,39120.0,,,
60,11,,3120.0,80028.0,48360.0,22920.0,,,
60,54,,3180.0,62196.0,31560.0,9240.0,,,
60,44,,3180.0,64596.0,31800.0,8640.0,,,
60,45,,3180.0,68880.0,35760.0,8580.0,,,
60,6,,,,,,,,
60,35,264998328.0,,,,,,,
60,11,265082628.0,,,,,,,
60,54,265195632.0,,,,,,,
60,44,265193916.0,,,,,,,
60,45,265175028.0,,,,,,,
60,2,,3000.0,100080.0,86760.0,90720.0,,,
60,30,,3120.0,76248.0,47160.0,21780.0,,,
60,2,264797184.0,,,,,12.88,264797209.76,12.88
60,6,,3060.0,91260.0,70980.0,97680.0,,,
60,30,265106736.0,,,,,,,
60,6,264838656.0,,,,,12.88,264838681.76,12.88
60,18,,,,,,,,
60,4,,,,,,,,
60,33,,,,,,,,
60,18,,3180.0,62616.0,38880.0,8940.0,,,
60,18,265178208.0,,,,,,,
60,27,,,,,,,,
60,33,,3240.0,57780.0,28620.0,9300.0,,,
60,41,,,,,,,,
60,33,265209432.0,,,,,,,
60,7,,,,,,,,
60,4,,2940.0,106380.0,102000.0,115260.0,,,
60,47,,,,,,,,
60,40,,,,,,,,
60,53,,,,,,,,
60,4,264653544.0,,,,,12.88,264653569.76,12.88
60,27,,3180.0,59928.0,28980.0,8580.0,,,
60,41,,3180.0,64704.0,33420.0,9540.0,,,
60,27,265206156.0,,,,,,,
60,41,265183740.0,,,,,,,
60,7,,3180.0,61548.0,30480.0,10860.0,,,
60,7,265200900.0,,,,,,,
60,47,,3120.0,73644.0,37680.0,20580.0,,,
60,40,,3180.0,69588.0,50580.0,14340.0,,,
60,53,,3120.0,70380.0,36540.0,20040.0,,,
60,14,,,,,,,,
60,47,265127832.0,,,,,,,
60,40,265101624.0,,,,,,,
60,53,265141080.0,,,,,,,
60,15,,,,,,,,
60,46,,,,,,,,
60,25,,,,,,,,
60,20,,,,,,,,
60,16,,,,,,,,
60,37,,,,,,,,
60,14,,3180.0,65208.0,32580.0,10860.0,,,
60,52,,,,,,,,
60,14,265183956.0,,,,,,,
60,15,,3180.0,67068.0,39480.0,10500.0,,,
60,46,,3180.0,59736.0,29700.0,9120.0,,,
60,25,,3180.0,62940.0,41100.0,9240.0,,,
60,15,265161192.0,,,,,,,
60,20,,3120.0,71412.0,46920.0,36900.0,,,
60,16,,3120.0,72096.0,51060.0,16920.0,,,
60,37,,3120.0,71676.0,52140.0,30120.0,,,
60,46,265209564.0,,,,,,,
60,25,265175556.0,,,,,,,
60,20,265101744.0,,,,,,,
60,16,265111464.0,,,,,,,
60,37,265012980.0,,,,,,,
60,10,,,,,,,,
60,10,,3180.0,60060.0,30420.0,9000.0,,,
60,12,,,,,,,,
60,52,,3120.0,76416.0,39000.0,13320.0,,,
60,10,265206780.0,,,,,,,
60,52,265141992.0,,,,,,,
60,49,,,,,,,,
60,12,,3120.0,72324.0,46920.0,27000.0,,,
60,12,265099968.0,,,,,,,
60,29,,,,,,,,
60,49,,3180.0,69948.0,34800.0,9600.0,,,
60,22,,,,,,,,
60,49,265170564.0,,,,,,,
60,29,,3240.0,57888.0,28500.0,8460.0,,,
60,29,265205376.0,,,,,,,
60,51,,,,,,,,
60,43,,,,,,,,
60,26,,,,,,,,
60,56,,,,,,,,
60,22,,3180.0,60408.0,37200.0,10320.0,,,
60,22,265185528.0,,,,,,,
60,9,,,,,,,,
60,5,,,,,,,,
60,51,,3180.0,62412.0,30420.0,9060.0,,,
60,42,,,,,,,,
60,19,,,,,,,,
60,43,,3180.0,64584.0,31500.0,9000.0,,,
60,26,,3180.0,62316.0,38160.0,9000.0,,,
60,51,265200360.0,,,,,,,
60,56,,3180.0,68592.0,34620.0,12960.0,,,
60,43,265191792.0,,,,,,,
60,26,265179648.0,,,,,,,
60,56,265165464.0,,,,,,,
60,9,,3120.0,71976.0,39780.0,12420.0,,,
60,5,,2940.0,107028.0,94020.0,133380.0,,,
60,9,265152408.0,,,,,,,
60,19,,3240.0,57564.0,31140.0,8820.0,,,
60,42,,3180.0,61932.0,31500.0,8760.0,,,
60,5,264652140.0,,,,,12.88,264652165.76,12.88
60,19,265208256.0,,,,,,,
60,42,265193376.0,,,,,,,
60,38,,,,,,,,
60,17,,,,,,,,
60,38,,3120.0,75228.0,45480.0,19800.0,,,
60,38,265079688.0,,,,,,,
60,17,,3180.0,68952.0,39720.0,8220.0,,,
60,17,265163124.0,,,,,,,
60,36,,,,,,,,
60,13,,,,,,,,
60,3,,,,,,,,
60,21,,,,,,,,
60,36,,3180.0,65040.0,44280.0,17700.0,,,
60,13,,3180.0,61764.0,29700.0,9000.0,,,
60,36,265137348.0,,,,,,,
60,13,265201524.0,,,,,,,
60,3,,3120.0,70608.0,45600.0,15900.0,,,
60,21,,3180.0,60336.0,34980.0,9900.0,,,
60,3,265128156.0,,,,,12.88,265128181.76,12.88
60,23,,,,,,,,
60,21,265188036.0,,,,,,,
60,32,,,,,,,,
60,23,,3180.0,66612.0,40500.0,12000.0,,,
60,23,265165152.0,,,,,,,
60,32,,3120.0,72360.0,37080.0,11700.0,,,
60,32,265153908.0,,,,,,,
90,39,,,,,,,,
90,34,,,,,,,,
90,24,,,,,,,,
90,8,,,,,,,,
90,39,,3180.0,62124.0,26640.0,3900.0,,,
90,34,,3180.0,60096.0,26280.0,4440.0,,,
90,24,,3180.0,60336.0,26520.0,4440.0,,,
90,39,265045512.0,,,,,,,
90,34,265076340.0,,,,,,,
90,24,265033920.0,,,,,,,
90,48,,,,,,,,
90,8,,3180.0,66000.0,29160.0,9840.0,,,
90,50,,,,,,,,
90,8,265083720.0,,,,,,,
90,55,,,,,,,,
90,28,,,,,,,,
90,48,,3240.0,53556.0,25260.0,4800.0,,,
90,48,265126944.0,,,,,,,
90,50,,3180.0,58020.0,25740.0,4140.0,,,
90,50,265111332.0,,,,,,,
90,55,,3180.0,64512.0,27120.0,8460.0,,,
90,28,,3240.0,51084.0,24900.0,4020.0,,,
90,11,,,,,,,,
90,55,265039788.0,,,,,,,
90,28,265132044.0,,,,,,,
90,31,,,,,,,,
90,35,,,,,,,,
90,54,,,,,,,,
90,44,,,,,,,,
90,45,,,,,,,,
90,2,,,,,,,,
90,30,,,,,,,,
90,6,,,,,,,,
90,31,,3240.0,57828.0,25860.0,4020.0,,,
90,31,265105428.0,,,,,,,
90,35,,3180.0,62868.0,27900.0,6480.0,,,
90,11,,3120.0,71868.0,33960.0,9840.0,,,
90,54,,3240.0,57684.0,25860.0,3720.0,,,
90,44,,3180.0,60144.0,26280.0,4440.0,,,
90,45,,3180.0,64428.0,27240.0,4320.0,,,
90,35,264897900.0,,,,,,,
90,11,264963840.0,,,,,,,
90,54,265105128.0,,,,,,,
90,44,265099872.0,,,,,,,
90,45,265075860.0,,,,,,,
90,2,,3120.0,72060.0,40920.0,26460.0,,,
90,30,,3180.0,67164.0,27480.0,4380.0,,,
90,2,264654624.0,,,,,12.88,264654662.64,12.88
90,6,,3180.0,66276.0,35100.0,23220.0,,,
90,30,265004532.0,,,,,,,
90,6,264710880.0,,,,,12.88,264710918.64,12.88
90,18,,,,,,,,
90,4,,,,,,,,
90,33,,,,,,,,
90,18,,3180.0,58080.0,27600.0,4440.0,,,
90,18,265084908.0,,,,,,,
90,27,,,,,,,,
90,41,,,,,,,,
90,7,,,,,,,,
90,33,,3240.0,53280.0,25200.0,4020.0,,,
90,47,,,,,,,,
90,40,,,,,,,,
90,33,265123692.0,,,,,,,
90,53,,,,,,,,
90,4,,3180.0,60468.0,26820.0,4560.0,,,
90,4,264558516.0,,,,,12.88,264558554.64,12.88
90,27,,3240.0,55212.0,25560.0,3720.0,,,
90,41,,3180.0,59916.0,26280.0,4020.0,,,
90,27,265118424.0,,,,,,,
90,41,265090344.0,,,,,,,
90,14,,,,,,,,
90,7,,3180.0,61452.0,28620.0,10440.0,,,
90,7,265097208.0,,,,,,,
90,47,,3180.0,64836.0,27240.0,5280.0,,,
90,40,,3180.0,62376.0,26700.0,4380.0,,,
90,15,,,,,,,,
90,53,,3180.0,62148.0,30600.0,4500.0,,,
90,46,,,,,,,,
90,25,,,,,,,,
90,47,265027296.0,,,,,,,
90,40,265004988.0,,,,,,,
90,53,265040652.0,,,,,,,
90,20,,,,,,,,
90,16,,,,,,,,
90,37,,,,,,,,
90,52,,,,,,,,
90,14,,3180.0,59688.0,26460.0,4500.0,,,
90,14,265090128.0,,,,,,,
90,15,,3180.0,62280.0,29460.0,4500.0,,,
90,46,,3240.0,55440.0,25560.0,4320.0,,,
90,25,,3240.0,57648.0,27540.0,4080.0,,,
90,15,265061772.0,,,,,,,
90,20,,3180.0,58404.0,26880.0,5880.0,,,
90,16,,3180.0,65040.0,31980.0,5160.0,,,
90,37,,3180.0,60408.0,27120.0,5400.0,,,
90,46,265121004.0,,,,,,,
90,25,265083048.0,,,,,,,
90,20,265007400.0,,,,,,,
90,16,265006104.0,,,,,,,
90,37,264916872.0,,,,,,,
90,10,,,,,,,,
90,12,,,,,,,,
90,10,,3240.0,55464.0,26640.0,4320.0,,,
90,52,,3180.0,69048.0,27780.0,4320.0,,,
90,10,265117116.0,,,,,,,
90,52,265037664.0,,,,,,,
90,49,,,,,,,,
90,29,,,,,,,,
90,12,,3180.0,62712.0,29640.0,5100.0,,,
90,12,264999336.0,,,,,,,
90,22,,,,,,,,
90,49,,3180.0,64392.0,27000.0,4020.0,,,
90,49,265071972.0,,,,,,,
90,29,,3240.0,53256.0,25260.0,4140.0,,,
90,51,,,,,,,,
90,43,,,,,,,,
90,26,,,,,,,,
90,29,265119480.0,,,,,,,
90,56,,,,,,,,
90,9,,,,,,,,
